,query,facet,question,reference,t5-candidate,ru-candidate,answer1,answer2,answer3,answer4
80,to be or not to be that is the question,"find the text of hamlet\'s famous \""to be or not to be\"" soliloquy.",are you interested in the quote from hamlet,yes im interested in the famous text,yes,"no i want to find the text of hamlet's famous ""to be or not to be"" soliloquy","find the text of hamlet\'s famous \""to be or not to be\"" soliloquy.",yes,"no i want to find the text of hamlet's famous ""to be or not to be"" soliloquy",yes im interested in the famous text
81,cheap internet,i want to find cheap dsl providers.,or maybe free internet,yes free or low cost,i dont know,i want cheap dsl providers,yes free or low cost,i want to find cheap dsl providers.,i dont know,i want cheap dsl providers
82,south africa,find pictures of south africa.,do you want the population of south africa,no i want photos of south africa,no i want pictures of south africa,no i want pictures of south africa,no i want pictures of south africa,find pictures of south africa.,no i want pictures of south africa,no i want photos of south africa
83,forearm pain,what kinds of injuries or conditions can cause forearm pain?,do you have forearm pain from typing,maybe what injuries can cause it,no i want to know what types of injuries or conditions can cause forearm pain,no i want to know what injuries or conditions can cause forearm pain,what kinds of injuries or conditions can cause forearm pain?,no i want to know what injuries or conditions can cause forearm pain,maybe what injuries can cause it,no i want to know what types of injuries or conditions can cause forearm pain
84,arkansas,show a map of arkansas.,do you need to know the next arkansas game time,i would like to see arkansas on a map,no i need a map of arkansas,no i want to show a map of arkansas,show a map of arkansas.,i would like to see arkansas on a map,no i need a map of arkansas,no i want to show a map of arkansas
85,pacific northwest laboratory,types of research projects performed at pnl,are you looking for research papers,no i just want to know the types of projects they do at pnl,no i am looking for research projects at pnl,yes i am looking for research projects performed at pnl,types of research projects performed at pnl,no i am looking for research projects at pnl,no i just want to know the types of projects they do at pnl,yes i am looking for research projects performed at pnl
86,worm,"find information about computer worms, viruses, and spyware.",are you interested in pictures of worms,no i am interested in computer worms viruses and spyware information,"no i want information about computer worms, viruses and spyware","no i want information about computer worms, viruses and spyware",no i am interested in computer worms viruses and spyware information,"no i want information about computer worms, viruses and spyware","find information about computer worms, viruses, and spyware.","no i want information about computer worms, viruses and spyware"
87,gmat prep classes,what\'s the difference between the gre and the gmat?,when do you want to take a gmat prep class,i need to know the difference betweent gmat and gre,i dont know,no i want to know what is the difference between the gre and gmat,no i want to know what is the difference between the gre and gmat,i need to know the difference betweent gmat and gre,i dont know,what\'s the difference between the gre and the gmat?
88,pork tenderloin,how do i grill a pork tenderloin on a gas grill?,would you like to see the cooking temperature of pork tenderloin,i want to know how to cook a pork tenderloin on a gas grill so i need the instructions and the temperature for a gas grill,no i want to know how to grill a pork tenderloin on a gas grill,no i want to know how to grill one on a gas grill,no i want to know how to grill a pork tenderloin on a gas grill,how do i grill a pork tenderloin on a gas grill?,no i want to know how to grill one on a gas grill,i want to know how to cook a pork tenderloin on a gas grill so i need the instructions and the temperature for a gas grill
89,vanuatu,"find photos from the \""survivor 9, vanuatu\"" tv reality series.",do you want to contact somebody here,no i want to find photos of somebody,no i want to see photos from the tv reality series'survivor 9 vanuatu',"no i want photos from the survivor 9, vanuatu tv reality series",no i want to see photos from the tv reality series'survivor 9 vanuatu',no i want to find photos of somebody,"find photos from the \""survivor 9, vanuatu\"" tv reality series.","no i want photos from the survivor 9, vanuatu tv reality series"
90,pork tenderloin,how do i grill a pork tenderloin on a gas grill?,are you purchasing pork tenderloin today,no i want to know how i grill a pork tenderloin on a gas grill,no i want to grill a pork tenderloin on a gas grill,no i want to grill one on a gas grill,no i want to know how i grill a pork tenderloin on a gas grill,no i want to grill a pork tenderloin on a gas grill,how do i grill a pork tenderloin on a gas grill?,no i want to grill one on a gas grill
91,hobby stores,what hobby stores carry trains?,is this a hobby where anyone can build things,i dont know,no i want to know what hobby stores carry trains,no i want to know which hobby stores carry trains,no i want to know which hobby stores carry trains,no i want to know what hobby stores carry trains,i dont know,what hobby stores carry trains?
92,pacific northwest laboratory,home page of the pacific northwest national laboratory,do you seek further information on lab breeders,no,no i want to go to the homepage of the pacific northwest national laboratory,no i want the homepage of the pacific northwest national laboratory,no i want to go to the homepage of the pacific northwest national laboratory,no,no i want the homepage of the pacific northwest national laboratory,home page of the pacific northwest national laboratory
93,keyboard reviews,find reviews of electronic keyboards and digital pianos.,do you just want to rated keyboards,i want to read reviews of electonic keyboards and pianos,no i want reviews of electronic keyboards and digital pianos,no i want to see reviews of electronic keyboards and digital pianos,find reviews of electronic keyboards and digital pianos.,no i want to see reviews of electronic keyboards and digital pianos,no i want reviews of electronic keyboards and digital pianos,i want to read reviews of electonic keyboards and pianos
94,iron,what foods contain iron?,would you like to know irons atomic number or mass,no i want to know what foods contain iron,no i want to know what foods contain iron,no i want to know what foods contain iron,what foods contain iron?,no i want to know what foods contain iron,no i want to know what foods contain iron,no i want to know what foods contain iron
95,von willebrand disease,what is von willebrand disease?,what kind of information about von willebrand disease do you want to see,general information  what is it,i want to know what von willebrand disease is,i want to know what is von willebrand,i want to know what is von willebrand,what is von willebrand disease?,i want to know what von willebrand disease is,general information  what is it
96,arkansas,"provide information on the city of little rock, arkansas.",do you want to move to arkansas,i dont know yet,no i want to know about the city of little rock arkansas,no i want information on the city of little rock arkansas,no i want information on the city of little rock arkansas,no i want to know about the city of little rock arkansas,i dont know yet,"provide information on the city of little rock, arkansas."
97,cass county missouri,"what was the 2008 budget for cass county, mo?",would you like to know more about the city,no just the budget for 2008,no i want to know what the 2008 budget was,no i want to know the budget for cass county mo,no just the budget for 2008,no i want to know the budget for cass county mo,"what was the 2008 budget for cass county, mo?",no i want to know what the 2008 budget was
98,indiana state fairgrounds,find a map for the indiana state fairgrounds.,are you looking for historical information about the indiana state fairgrounds,show me a map of the fairgrounds,no i want a map of the indiana state fairgrounds,no i am looking for a map,find a map for the indiana state fairgrounds.,no i want a map of the indiana state fairgrounds,show me a map of the fairgrounds,no i am looking for a map
99,barbados,suggest tourist activities in barbados.,are you interested in barbados,yes tourist activities in barbados,no i want to see tourist activities in barbados,yes tourist activities in barbados,suggest tourist activities in barbados.,yes tourist activities in barbados,no i want to see tourist activities in barbados,yes tourist activities in barbados
0,iron,find information about the element iron (fe).,would you like to know about iron deficiencies,no,no i want to know about the element iron,yes i would like to know about iron deficiencies,no,find information about the element iron (fe).,no i want to know about the element iron,yes i would like to know about iron deficiencies
1,cheap internet,find me some providers of free wireless internet access.,or maybe free internet,yes how can i get free internet,i dont know,free wireless internet,yes how can i get free internet,i dont know,find me some providers of free wireless internet access.,free wireless internet
