,HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.query,Input.facet,Input.question,Input.reference,Input.t5-candidate,Input.ru-candidate,Input.answer1,Input.answer2,Input.answer3,Input.answer4,Answer.taskAnswers,ans1nat,ans1rel,ans2nat,ans2rel,ans3nat,ans3rel,ans4nat,ans4rel,copy-nat,copy-rel,t5-nat,t5-rel,ru-nat,ru-rel,ref-nat,ref-rel
0,3SZYX62S6US9W2R4IHC0T6YPRS075G,30HLKW73XHW1NQCS40H4WTJNKWIBC0,How good is the answer to clarifing questions,How Coherent and Natural are the answers to clarifying questions for ambiguous search query,"Search, Clarifying question, answer quality",$1.00,Fri Jan 27 10:12:37 PST 2023,5,BatchId:4997639;OriginalHitTemplateId:928390850;,900,604800,Sun Feb 26 10:12:37 PST 2023,,,3A4TN5196ZAUBW4P12QLM8PJSIOHCX,A14W0AXTJ3R19V,Submitted,Fri Jan 27 10:12:58 PST 2023,Fri Jan 27 10:16:45 PST 2023,Fri Feb 03 10:16:45 PST 2023,,,,227,0% (0/0),0% (0/0),0% (0/0),to be or not to be that is the question,"find the text of hamlet\'s famous \""to be or not to be\"" soliloquy.",are you interested in the quote from hamlet,yes im interested in the famous text,yes,"no i want to find the text of hamlet's famous ""to be or not to be"" soliloquy","find the text of hamlet\'s famous \""to be or not to be\"" soliloquy.",yes,"no i want to find the text of hamlet's famous ""to be or not to be"" soliloquy",yes im interested in the famous text,"[{""ans1nat"":{""ans1nat1"":false,""ans1nat2"":false,""ans1nat3"":true,""ans1nat4"":false,""ans1nat5"":false},""ans1rel"":{""ans1rel1"":false,""ans1rel2"":false,""ans1rel3"":false,""ans1rel4"":false,""ans1rel5"":true},""ans2nat"":{""ans2nat1"":false,""ans2nat2"":false,""ans2nat3"":false,""ans2nat4"":false,""ans2nat5"":true},""ans2rel"":{""ans2rel1"":false,""ans2rel2"":false,""ans2rel3"":false,""ans2rel4"":true,""ans2rel5"":false},""ans3nat"":{""ans3nat1"":false,""ans3nat2"":false,""ans3nat3"":false,""ans3nat4"":false,""ans3nat5"":true},""ans3rel"":{""ans3rel1"":false,""ans3rel2"":false,""ans3rel3"":false,""ans3rel4"":false,""ans3rel5"":true},""ans4nat"":{""ans4nat1"":false,""ans4nat2"":false,""ans4nat3"":false,""ans4nat4"":false,""ans4nat5"":true},""ans4rel"":{""ans4rel1"":false,""ans4rel2"":false,""ans4rel3"":false,""ans4rel4"":true,""ans4rel5"":false}}]",3.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,3.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0
1,3SZYX62S6US9W2R4IHC0T6YPRS075G,30HLKW73XHW1NQCS40H4WTJNKWIBC0,How good is the answer to clarifing questions,How Coherent and Natural are the answers to clarifying questions for ambiguous search query,"Search, Clarifying question, answer quality",$1.00,Fri Jan 27 10:12:37 PST 2023,5,BatchId:4997639;OriginalHitTemplateId:928390850;,900,604800,Sun Feb 26 10:12:37 PST 2023,,,38BQUHLA9BSHCZ23I4FP9DRWYI6OMA,A1BSOOHNHX51RI,Submitted,Fri Jan 27 10:12:57 PST 2023,Fri Jan 27 10:22:21 PST 2023,Fri Feb 03 10:22:21 PST 2023,,,,564,100% (11/11),100% (11/11),100% (11/11),to be or not to be that is the question,"find the text of hamlet\'s famous \""to be or not to be\"" soliloquy.",are you interested in the quote from hamlet,yes im interested in the famous text,yes,"no i want to find the text of hamlet's famous ""to be or not to be"" soliloquy","find the text of hamlet\'s famous \""to be or not to be\"" soliloquy.",yes,"no i want to find the text of hamlet's famous ""to be or not to be"" soliloquy",yes im interested in the famous text,"[{""ans1nat"":{""ans1nat1"":false,""ans1nat2"":false,""ans1nat3"":false,""ans1nat4"":true,""ans1nat5"":false},""ans1rel"":{""ans1rel1"":false,""ans1rel2"":false,""ans1rel3"":false,""ans1rel4"":false,""ans1rel5"":true},""ans2nat"":{""ans2nat1"":false,""ans2nat2"":false,""ans2nat3"":false,""ans2nat4"":false,""ans2nat5"":true},""ans2rel"":{""ans2rel1"":false,""ans2rel2"":false,""ans2rel3"":false,""ans2rel4"":false,""ans2rel5"":true},""ans3nat"":{""ans3nat1"":false,""ans3nat2"":false,""ans3nat3"":false,""ans3nat4"":false,""ans3nat5"":true},""ans3rel"":{""ans3rel1"":true,""ans3rel2"":false,""ans3rel3"":false,""ans3rel4"":false,""ans3rel5"":false},""ans4nat"":{""ans4nat1"":false,""ans4nat2"":false,""ans4nat3"":false,""ans4nat4"":true,""ans4nat5"":false},""ans4rel"":{""ans4rel1"":false,""ans4rel2"":false,""ans4rel3"":false,""ans4rel4"":false,""ans4rel5"":true}}]",4.0,5.0,5.0,5.0,5.0,1.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,1.0,4.0,5.0
2,3SZYX62S6US9W2R4IHC0T6YPRS075G,30HLKW73XHW1NQCS40H4WTJNKWIBC0,How good is the answer to clarifing questions,How Coherent and Natural are the answers to clarifying questions for ambiguous search query,"Search, Clarifying question, answer quality",$1.00,Fri Jan 27 10:12:37 PST 2023,5,BatchId:4997639;OriginalHitTemplateId:928390850;,900,604800,Sun Feb 26 10:12:37 PST 2023,,,3ND9UOO81ZU5BQTK9E5KQUPT1FFWLS,A3HNEYFOIJWPH1,Submitted,Fri Jan 27 10:13:35 PST 2023,Fri Jan 27 10:24:45 PST 2023,Fri Feb 03 10:24:45 PST 2023,,,,670,100% (23/23),100% (23/23),100% (23/23),to be or not to be that is the question,"find the text of hamlet\'s famous \""to be or not to be\"" soliloquy.",are you interested in the quote from hamlet,yes im interested in the famous text,yes,"no i want to find the text of hamlet's famous ""to be or not to be"" soliloquy","find the text of hamlet\'s famous \""to be or not to be\"" soliloquy.",yes,"no i want to find the text of hamlet's famous ""to be or not to be"" soliloquy",yes im interested in the famous text,"[{""ans1nat"":{""ans1nat1"":false,""ans1nat2"":false,""ans1nat3"":false,""ans1nat4"":false,""ans1nat5"":true},""ans1rel"":{""ans1rel1"":false,""ans1rel2"":false,""ans1rel3"":false,""ans1rel4"":false,""ans1rel5"":true},""ans2nat"":{""ans2nat1"":false,""ans2nat2"":false,""ans2nat3"":false,""ans2nat4"":false,""ans2nat5"":true},""ans2rel"":{""ans2rel1"":false,""ans2rel2"":false,""ans2rel3"":false,""ans2rel4"":false,""ans2rel5"":true},""ans3nat"":{""ans3nat1"":false,""ans3nat2"":false,""ans3nat3"":false,""ans3nat4"":true,""ans3nat5"":false},""ans3rel"":{""ans3rel1"":false,""ans3rel2"":false,""ans3rel3"":false,""ans3rel4"":false,""ans3rel5"":true},""ans4nat"":{""ans4nat1"":false,""ans4nat2"":false,""ans4nat3"":false,""ans4nat4"":false,""ans4nat5"":true},""ans4rel"":{""ans4rel1"":false,""ans4rel2"":false,""ans4rel3"":false,""ans4rel4"":false,""ans4rel5"":true}}]",5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0
3,3SZYX62S6US9W2R4IHC0T6YPRS075G,30HLKW73XHW1NQCS40H4WTJNKWIBC0,How good is the answer to clarifing questions,How Coherent and Natural are the answers to clarifying questions for ambiguous search query,"Search, Clarifying question, answer quality",$1.00,Fri Jan 27 10:12:37 PST 2023,5,BatchId:4997639;OriginalHitTemplateId:928390850;,900,604800,Sun Feb 26 10:12:37 PST 2023,,,3TK8OJTYMGDINM8DBWTVL9FZZGIPVD,A3O7X46E3REM7I,Submitted,Fri Jan 27 10:28:40 PST 2023,Fri Jan 27 10:34:46 PST 2023,Fri Feb 03 10:34:46 PST 2023,,,,366,100% (7/7),100% (7/7),100% (7/7),to be or not to be that is the question,"find the text of hamlet\'s famous \""to be or not to be\"" soliloquy.",are you interested in the quote from hamlet,yes im interested in the famous text,yes,"no i want to find the text of hamlet's famous ""to be or not to be"" soliloquy","find the text of hamlet\'s famous \""to be or not to be\"" soliloquy.",yes,"no i want to find the text of hamlet's famous ""to be or not to be"" soliloquy",yes im interested in the famous text,"[{""ans1nat"":{""ans1nat1"":false,""ans1nat2"":false,""ans1nat3"":false,""ans1nat4"":true,""ans1nat5"":false},""ans1rel"":{""ans1rel1"":false,""ans1rel2"":false,""ans1rel3"":false,""ans1rel4"":false,""ans1rel5"":true},""ans2nat"":{""ans2nat1"":false,""ans2nat2"":false,""ans2nat3"":false,""ans2nat4"":true,""ans2nat5"":false},""ans2rel"":{""ans2rel1"":false,""ans2rel2"":false,""ans2rel3"":true,""ans2rel4"":false,""ans2rel5"":false},""ans3nat"":{""ans3nat1"":false,""ans3nat2"":false,""ans3nat3"":false,""ans3nat4"":false,""ans3nat5"":true},""ans3rel"":{""ans3rel1"":false,""ans3rel2"":false,""ans3rel3"":false,""ans3rel4"":false,""ans3rel5"":true},""ans4nat"":{""ans4nat1"":false,""ans4nat2"":false,""ans4nat3"":false,""ans4nat4"":true,""ans4nat5"":false},""ans4rel"":{""ans4rel1"":false,""ans4rel2"":false,""ans4rel3"":true,""ans4rel4"":false,""ans4rel5"":false}}]",4.0,5.0,4.0,3.0,5.0,5.0,4.0,3.0,4.0,5.0,4.0,3.0,5.0,5.0,4.0,3.0
4,3SZYX62S6US9W2R4IHC0T6YPRS075G,30HLKW73XHW1NQCS40H4WTJNKWIBC0,How good is the answer to clarifing questions,How Coherent and Natural are the answers to clarifying questions for ambiguous search query,"Search, Clarifying question, answer quality",$1.00,Fri Jan 27 10:12:37 PST 2023,5,BatchId:4997639;OriginalHitTemplateId:928390850;,900,604800,Sun Feb 26 10:12:37 PST 2023,,,3KKG4CDWKXQY1M9RABWBQTF7HS049I,APGX2WZ59OWDN,Submitted,Fri Jan 27 10:13:50 PST 2023,Fri Jan 27 10:25:56 PST 2023,Fri Feb 03 10:25:56 PST 2023,,,,726,100% (22/22),100% (22/22),100% (22/22),to be or not to be that is the question,"find the text of hamlet\'s famous \""to be or not to be\"" soliloquy.",are you interested in the quote from hamlet,yes im interested in the famous text,yes,"no i want to find the text of hamlet's famous ""to be or not to be"" soliloquy","find the text of hamlet\'s famous \""to be or not to be\"" soliloquy.",yes,"no i want to find the text of hamlet's famous ""to be or not to be"" soliloquy",yes im interested in the famous text,"[{""ans1nat"":{""ans1nat1"":false,""ans1nat2"":false,""ans1nat3"":false,""ans1nat4"":true,""ans1nat5"":false},""ans1rel"":{""ans1rel1"":false,""ans1rel2"":false,""ans1rel3"":false,""ans1rel4"":false,""ans1rel5"":true},""ans2nat"":{""ans2nat1"":false,""ans2nat2"":false,""ans2nat3"":false,""ans2nat4"":false,""ans2nat5"":true},""ans2rel"":{""ans2rel1"":false,""ans2rel2"":false,""ans2rel3"":false,""ans2rel4"":false,""ans2rel5"":true},""ans3nat"":{""ans3nat1"":true,""ans3nat2"":false,""ans3nat3"":false,""ans3nat4"":false,""ans3nat5"":false},""ans3rel"":{""ans3rel1"":false,""ans3rel2"":false,""ans3rel3"":false,""ans3rel4"":false,""ans3rel5"":true},""ans4nat"":{""ans4nat1"":false,""ans4nat2"":false,""ans4nat3"":false,""ans4nat4"":true,""ans4nat5"":false},""ans4rel"":{""ans4rel1"":false,""ans4rel2"":false,""ans4rel3"":false,""ans4rel4"":false,""ans4rel5"":true}}]",4.0,5.0,5.0,5.0,1.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,1.0,5.0,4.0,5.0
5,3WGCNLZJLT0QPTRV87DAQ8V41NYD1X,30HLKW73XHW1NQCS40H4WTJNKWIBC0,How good is the answer to clarifing questions,How Coherent and Natural are the answers to clarifying questions for ambiguous search query,"Search, Clarifying question, answer quality",$1.00,Fri Jan 27 10:12:37 PST 2023,5,BatchId:4997639;OriginalHitTemplateId:928390850;,900,604800,Sun Feb 26 10:12:37 PST 2023,,,37XITHEISB170QISX72F0CRPFRMRC4,A14W0AXTJ3R19V,Submitted,Fri Jan 27 10:13:08 PST 2023,Fri Jan 27 10:22:30 PST 2023,Fri Feb 03 10:22:30 PST 2023,,,,562,0% (0/0),0% (0/0),0% (0/0),cheap internet,i want to find cheap dsl providers.,or maybe free internet,yes free or low cost,i dont know,i want cheap dsl providers,yes free or low cost,i want to find cheap dsl providers.,i dont know,i want cheap dsl providers,"[{""ans1nat"":{""ans1nat1"":false,""ans1nat2"":false,""ans1nat3"":false,""ans1nat4"":false,""ans1nat5"":true},""ans1rel"":{""ans1rel1"":false,""ans1rel2"":false,""ans1rel3"":false,""ans1rel4"":false,""ans1rel5"":true},""ans2nat"":{""ans2nat1"":true,""ans2nat2"":false,""ans2nat3"":false,""ans2nat4"":false,""ans2nat5"":false},""ans2rel"":{""ans2rel1"":false,""ans2rel2"":false,""ans2rel3"":false,""ans2rel4"":false,""ans2rel5"":true},""ans3nat"":{""ans3nat1"":false,""ans3nat2"":true,""ans3nat3"":false,""ans3nat4"":false,""ans3nat5"":false},""ans3rel"":{""ans3rel1"":true,""ans3rel2"":false,""ans3rel3"":false,""ans3rel4"":false,""ans3rel5"":false},""ans4nat"":{""ans4nat1"":false,""ans4nat2"":true,""ans4nat3"":false,""ans4nat4"":false,""ans4nat5"":false},""ans4rel"":{""ans4rel1"":false,""ans4rel2"":false,""ans4rel3"":false,""ans4rel4"":false,""ans4rel5"":true}}]",5.0,5.0,1.0,5.0,2.0,1.0,2.0,5.0,1.0,5.0,2.0,1.0,2.0,5.0,5.0,5.0
6,3WGCNLZJLT0QPTRV87DAQ8V41NYD1X,30HLKW73XHW1NQCS40H4WTJNKWIBC0,How good is the answer to clarifing questions,How Coherent and Natural are the answers to clarifying questions for ambiguous search query,"Search, Clarifying question, answer quality",$1.00,Fri Jan 27 10:12:37 PST 2023,5,BatchId:4997639;OriginalHitTemplateId:928390850;,900,604800,Sun Feb 26 10:12:37 PST 2023,,,35USIKEBN68X5BHZU98V5SU5I8Q6N7,A2QQY4S73JO639,Submitted,Fri Jan 27 10:26:00 PST 2023,Fri Jan 27 10:27:40 PST 2023,Fri Feb 03 10:27:40 PST 2023,,,,100,100% (5/5),100% (5/5),100% (5/5),cheap internet,i want to find cheap dsl providers.,or maybe free internet,yes free or low cost,i dont know,i want cheap dsl providers,yes free or low cost,i want to find cheap dsl providers.,i dont know,i want cheap dsl providers,"[{""ans1nat"":{""ans1nat1"":false,""ans1nat2"":true,""ans1nat3"":false,""ans1nat4"":false,""ans1nat5"":false},""ans1rel"":{""ans1rel1"":false,""ans1rel2"":true,""ans1rel3"":false,""ans1rel4"":false,""ans1rel5"":false},""ans2nat"":{""ans2nat1"":false,""ans2nat2"":false,""ans2nat3"":false,""ans2nat4"":false,""ans2nat5"":true},""ans2rel"":{""ans2rel1"":false,""ans2rel2"":false,""ans2rel3"":false,""ans2rel4"":false,""ans2rel5"":true},""ans3nat"":{""ans3nat1"":false,""ans3nat2"":false,""ans3nat3"":false,""ans3nat4"":false,""ans3nat5"":true},""ans3rel"":{""ans3rel1"":true,""ans3rel2"":false,""ans3rel3"":false,""ans3rel4"":false,""ans3rel5"":false},""ans4nat"":{""ans4nat1"":false,""ans4nat2"":false,""ans4nat3"":true,""ans4nat4"":false,""ans4nat5"":false},""ans4rel"":{""ans4rel1"":false,""ans4rel2"":false,""ans4rel3"":true,""ans4rel4"":false,""ans4rel5"":false}}]",2.0,2.0,5.0,5.0,5.0,1.0,3.0,3.0,5.0,5.0,5.0,1.0,3.0,3.0,2.0,2.0
7,3WGCNLZJLT0QPTRV87DAQ8V41NYD1X,30HLKW73XHW1NQCS40H4WTJNKWIBC0,How good is the answer to clarifing questions,How Coherent and Natural are the answers to clarifying questions for ambiguous search query,"Search, Clarifying question, answer quality",$1.00,Fri Jan 27 10:12:37 PST 2023,5,BatchId:4997639;OriginalHitTemplateId:928390850;,900,604800,Sun Feb 26 10:12:37 PST 2023,,,3X73LLYYQG6D201GQSZZ2JJVRM2HNF,A3HNEYFOIJWPH1,Submitted,Fri Jan 27 10:13:11 PST 2023,Fri Jan 27 10:23:22 PST 2023,Fri Feb 03 10:23:22 PST 2023,,,,611,100% (23/23),100% (23/23),100% (23/23),cheap internet,i want to find cheap dsl providers.,or maybe free internet,yes free or low cost,i dont know,i want cheap dsl providers,yes free or low cost,i want to find cheap dsl providers.,i dont know,i want cheap dsl providers,"[{""ans1nat"":{""ans1nat1"":false,""ans1nat2"":false,""ans1nat3"":false,""ans1nat4"":false,""ans1nat5"":true},""ans1rel"":{""ans1rel1"":false,""ans1rel2"":false,""ans1rel3"":false,""ans1rel4"":false,""ans1rel5"":true},""ans2nat"":{""ans2nat1"":false,""ans2nat2"":false,""ans2nat3"":false,""ans2nat4"":false,""ans2nat5"":true},""ans2rel"":{""ans2rel1"":false,""ans2rel2"":false,""ans2rel3"":false,""ans2rel4"":false,""ans2rel5"":true},""ans3nat"":{""ans3nat1"":true,""ans3nat2"":false,""ans3nat3"":false,""ans3nat4"":false,""ans3nat5"":false},""ans3rel"":{""ans3rel1"":true,""ans3rel2"":false,""ans3rel3"":false,""ans3rel4"":false,""ans3rel5"":false},""ans4nat"":{""ans4nat1"":false,""ans4nat2"":false,""ans4nat3"":false,""ans4nat4"":false,""ans4nat5"":true},""ans4rel"":{""ans4rel1"":false,""ans4rel2"":false,""ans4rel3"":false,""ans4rel4"":false,""ans4rel5"":true}}]",5.0,5.0,5.0,5.0,1.0,1.0,5.0,5.0,5.0,5.0,1.0,1.0,5.0,5.0,5.0,5.0
8,3WGCNLZJLT0QPTRV87DAQ8V41NYD1X,30HLKW73XHW1NQCS40H4WTJNKWIBC0,How good is the answer to clarifing questions,How Coherent and Natural are the answers to clarifying questions for ambiguous search query,"Search, Clarifying question, answer quality",$1.00,Fri Jan 27 10:12:37 PST 2023,5,BatchId:4997639;OriginalHitTemplateId:928390850;,900,604800,Sun Feb 26 10:12:37 PST 2023,,,354P56DE9ZVDPON9LFU9A0470IIS74,A3O7X46E3REM7I,Submitted,Fri Jan 27 10:29:02 PST 2023,Fri Jan 27 10:36:07 PST 2023,Fri Feb 03 10:36:07 PST 2023,,,,425,100% (7/7),100% (7/7),100% (7/7),cheap internet,i want to find cheap dsl providers.,or maybe free internet,yes free or low cost,i dont know,i want cheap dsl providers,yes free or low cost,i want to find cheap dsl providers.,i dont know,i want cheap dsl providers,"[{""ans1nat"":{""ans1nat1"":false,""ans1nat2"":false,""ans1nat3"":false,""ans1nat4"":false,""ans1nat5"":true},""ans1rel"":{""ans1rel1"":false,""ans1rel2"":false,""ans1rel3"":false,""ans1rel4"":true,""ans1rel5"":false},""ans2nat"":{""ans2nat1"":false,""ans2nat2"":false,""ans2nat3"":false,""ans2nat4"":true,""ans2nat5"":false},""ans2rel"":{""ans2rel1"":false,""ans2rel2"":false,""ans2rel3"":false,""ans2rel4"":false,""ans2rel5"":true},""ans3nat"":{""ans3nat1"":false,""ans3nat2"":true,""ans3nat3"":false,""ans3nat4"":false,""ans3nat5"":false},""ans3rel"":{""ans3rel1"":false,""ans3rel2"":true,""ans3rel3"":false,""ans3rel4"":false,""ans3rel5"":false},""ans4nat"":{""ans4nat1"":false,""ans4nat2"":false,""ans4nat3"":false,""ans4nat4"":false,""ans4nat5"":true},""ans4rel"":{""ans4rel1"":false,""ans4rel2"":false,""ans4rel3"":false,""ans4rel4"":false,""ans4rel5"":true}}]",5.0,4.0,4.0,5.0,2.0,2.0,5.0,5.0,4.0,5.0,2.0,2.0,5.0,5.0,5.0,4.0
9,3WGCNLZJLT0QPTRV87DAQ8V41NYD1X,30HLKW73XHW1NQCS40H4WTJNKWIBC0,How good is the answer to clarifing questions,How Coherent and Natural are the answers to clarifying questions for ambiguous search query,"Search, Clarifying question, answer quality",$1.00,Fri Jan 27 10:12:37 PST 2023,5,BatchId:4997639;OriginalHitTemplateId:928390850;,900,604800,Sun Feb 26 10:12:37 PST 2023,,,38F71OA9G8ON6MPAJ1WZMJII6HFMFM,APGX2WZ59OWDN,Submitted,Fri Jan 27 10:13:35 PST 2023,Fri Jan 27 10:23:34 PST 2023,Fri Feb 03 10:23:34 PST 2023,,,,599,100% (22/22),100% (22/22),100% (22/22),cheap internet,i want to find cheap dsl providers.,or maybe free internet,yes free or low cost,i dont know,i want cheap dsl providers,yes free or low cost,i want to find cheap dsl providers.,i dont know,i want cheap dsl providers,"[{""ans1nat"":{""ans1nat1"":false,""ans1nat2"":false,""ans1nat3"":false,""ans1nat4"":false,""ans1nat5"":true},""ans1rel"":{""ans1rel1"":true,""ans1rel2"":false,""ans1rel3"":false,""ans1rel4"":false,""ans1rel5"":false},""ans2nat"":{""ans2nat1"":false,""ans2nat2"":false,""ans2nat3"":false,""ans2nat4"":false,""ans2nat5"":true},""ans2rel"":{""ans2rel1"":false,""ans2rel2"":false,""ans2rel3"":false,""ans2rel4"":false,""ans2rel5"":true},""ans3nat"":{""ans3nat1"":true,""ans3nat2"":false,""ans3nat3"":false,""ans3nat4"":false,""ans3nat5"":false},""ans3rel"":{""ans3rel1"":true,""ans3rel2"":false,""ans3rel3"":false,""ans3rel4"":false,""ans3rel5"":false},""ans4nat"":{""ans4nat1"":false,""ans4nat2"":false,""ans4nat3"":false,""ans4nat4"":true,""ans4nat5"":false},""ans4rel"":{""ans4rel1"":false,""ans4rel2"":false,""ans4rel3"":false,""ans4rel4"":false,""ans4rel5"":true}}]",5.0,1.0,5.0,5.0,1.0,1.0,4.0,5.0,5.0,5.0,1.0,1.0,4.0,5.0,5.0,1.0
